[2026-07-07 15:53:38,538 root/INFO]: 127.0.0.1 - "GET /pitches HTTP/1.1" - 200 - | 16ms |  | 
[2026-07-07 15:54:08,152 root/INFO]: Logging initialized
[2026-07-07 15:54:10,175 root/INFO]: 127.0.0.1 - "GET / HTTP/1.1" - 200 - | 4ms |  | 
[2026-07-07 15:54:10,418 root/INFO]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 200 - | 172ms |  | 
[2026-07-07 15:54:10,421 root/WARNING]: 127.0.0.1 - "GET /static/js/index.js HTTP/1.1" - 304 - | 165ms |  | 
[2026-07-07 15:54:10,422 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 2ms |  | 
[2026-07-07 15:54:10,442 root/WARNING]: 127.0.0.1 - "GET /static/js/cookie.js HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 15:54:10,494 root/INFO]: 127.0.0.1 - "GET /pitches HTTP/1.1" - 200 - | 17ms |  | 
[2026-07-07 15:55:39,389 root/INFO]: Logging initialized
[2026-07-07 15:55:41,828 root/INFO]: 127.0.0.1 - "GET / HTTP/1.1" - 200 - | 8ms |  | 
[2026-07-07 15:55:42,109 root/WARNING]: 127.0.0.1 - "GET /static/js/index.js HTTP/1.1" - 304 - | 207ms |  | 
[2026-07-07 15:55:42,111 root/INFO]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 200 - | 229ms |  | 
[2026-07-07 15:55:42,114 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 15:55:42,206 root/WARNING]: 127.0.0.1 - "GET /static/js/cookie.js HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 15:55:42,377 root/INFO]: 127.0.0.1 - "GET /pitches HTTP/1.1" - 200 - | 21ms |  | 
[2026-07-07 15:57:20,870 root/INFO]: Logging initialized
[2026-07-07 15:57:23,437 root/INFO]: 127.0.0.1 - "GET / HTTP/1.1" - 200 - | 18ms |  | 
[2026-07-07 15:57:23,729 root/WARNING]: 127.0.0.1 - "GET /static/js/index.js HTTP/1.1" - 304 - | 218ms |  | 
[2026-07-07 15:57:23,731 root/INFO]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 200 - | 236ms |  | 
[2026-07-07 15:57:23,737 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 2ms |  | 
[2026-07-07 15:57:23,759 root/WARNING]: 127.0.0.1 - "GET /static/js/cookie.js HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 15:57:23,865 root/INFO]: 127.0.0.1 - "GET /pitches HTTP/1.1" - 200 - | 32ms |  | 
[2026-07-07 15:57:49,216 root/INFO]: Logging initialized
[2026-07-07 15:57:50,846 root/INFO]: 127.0.0.1 - "GET / HTTP/1.1" - 200 - | 10ms |  | 
[2026-07-07 15:57:50,971 root/INFO]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 200 - | 78ms |  | 
[2026-07-07 15:57:50,974 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 15:57:50,982 root/WARNING]: 127.0.0.1 - "GET /static/js/index.js HTTP/1.1" - 304 - | 73ms |  | 
[2026-07-07 15:57:51,019 root/WARNING]: 127.0.0.1 - "GET /static/js/cookie.js HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 15:57:51,177 root/INFO]: 127.0.0.1 - "GET /pitches HTTP/1.1" - 200 - | 12ms |  | 
[2026-07-07 15:59:09,729 root/INFO]: Logging initialized
[2026-07-07 15:59:11,109 root/INFO]: 127.0.0.1 - "GET / HTTP/1.1" - 200 - | 7ms |  | 
[2026-07-07 15:59:11,221 root/INFO]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 200 - | 72ms |  | 
[2026-07-07 15:59:11,223 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 15:59:11,234 root/WARNING]: 127.0.0.1 - "GET /static/js/index.js HTTP/1.1" - 304 - | 68ms |  | 
